theta,uvel,tke,vert_heights,brunt,tke_250,tke_1000
,,,,,0.437317646,0.018658392
,,,,,0.437317646,0.019211468
,,,,,0.437317646,0.019693154
,,,,,0.437317646,0.020111613
,,,,,0.437317646,0.020516551
,,,,,0.437317646,0.020959417
,,,,,0.437317646,0.021457704
,,,,,0.437317646,0.021988559
,,,,,0.437317646,0.022536724
,,,,,0.437317646,0.023141294
,,,,,0.437317646,0.023740701
,,,,,0.437317646,0.024206991
,,,,,0.437317646,0.024618276
,,,,,0.43858646,0.025126909
,,,,,0.43858646,0.025722762
,,,,,0.43858646,0.02638626
,,,,,0.43858646,0.02718255
,,,,,0.43858646,0.028122347
,,,,,0.43858646,0.02912128
,,,,,0.43858646,0.030063624
,,,,,0.43858646,0.030919066
,,,,,0.43858646,0.03172746
,,,,,0.43858646,0.03256467
,,,,,0.43858646,0.033541955
,,,,,0.43858646,0.034842431
,,,,,0.422937763,0.036173893
,,,,,0.422937763,0.038378192
,,,,,0.422937763,0.042318664
,,,,,0.422937763,0.04797363
,,,,,0.422937763,0.056062596
,,,,,0.422937763,0.066848137
,,,,,0.422937763,0.079758637
,,,,,0.422937763,0.095546022
,,,,,0.422937763,0.115624411
,,,,,0.422937763,0.140907997
,,,,,0.422937763,0.140907997
,,,,,0.422937763,0.140907997
,,,,,0.422937763,0.140907997
,,,,,0.422937763,0.140907997
,,,,,0.422937763,0.140907997
,,,,,0.422937763,0.140907997
,,,,,0.422937763,0.140907997
,,,,,0.422937763,0.140907997
,,,,,0.422937763,0.140907997
,,,,,0.422937763,0.140907997
,,,,,0.422937763,0.140907997
